"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","walk"
"46",311.82184,914.74274,0.15269676,311.74234,912.34174,0.20230578,316.22592,918.60834,0.14370789,303.66418,927.94653,0.16312587,2.4636075,4.9042683,9.405739,77.463486,94.2371,23.559275,2.4636075,77.463486,22.740208,45.480415,27.647137,138.23569,34.774624,208.64774,30.0592,210.4144,31.470411,472.05615,0.66183627,0.16545907,0,4,4,1
"47",298.33408,915.67993,0.16372263,298.5265,911.4543,0.15623169,300.99335,916.42706,0.14504227,298.21628,927.7511,0.116102844,103.31869,101.21973,117.59101,41.658344,363.78778,90.946945,41.658344,117.59101,57.25311,114.50622,36.864357,184.3218,38.197105,229.18263,42.79924,299.5947,37.325603,559.88403,0.58109945,0.14527486,0,4,4,1
"48",297.28326,898.0949,0.12284795,298.11838,911.4543,0.12573884,300.68448,916.3106,0.10867489,298.21628,925.97906,0.10456246,134.62013,3.1186883,2.5224907,13.541447,153.80275,38.450687,2.5224907,134.62013,64.698814,129.39763,36.870197,184.351,37.128746,222.77248,38.23333,267.6333,34.380157,515.7024,0.46182415,0.11545604,0,4,4,1
"49",297.28238,898.0949,0.14288998,296.78802,908.0272,0.13523169,299.08698,904.0624,0.11906739,298.07782,925.47974,0.12875023,0.0067630275,28.092775,94.39072,3.9597247,126.44998,31.612495,0.0067630275,94.39072,35.031593,70.06319,41.29811,206.49054,35.993916,215.96349,36.34071,254.38498,35.919586,538.79376,0.5259393,0.13148482,0,4,4,1
"50",281.47708,899.34454,0.14264742,296.78802,908.0272,0.1506498,286.4019,903.68005,0.14821894,298.07782,925.47974,0.1497841,121.15712,0,96.980354,0,218.13748,54.53437,0,121.15712,43.073433,86.146866,47.820755,239.10378,43.504154,261.0249,38.64255,270.49786,38.639133,579.587,0.59130025,0.14782506,0,4,4,1
"51",279.8777,915.9923,0.13042475,282.57477,908.0272,0.15531558,286.0661,903.68005,0.1281339,298.07782,925.47974,0.14143491,127.8039,108.61422,2.565986,0,238.9841,59.746025,0,127.8039,57.140198,114.280396,55.058105,275.29053,49.8083,298.8498,45.82442,320.77094,41.314747,619.7212,0.5553091,0.13882728,0,4,4,1
"52",279.8777,899.404,0.19116895,281.72858,908.7536,0.22081384,286.0661,903.68005,0.19057277,282.7148,913.781,0.16007315,126.763855,8.52207,0,147.5635,282.84943,70.71236,0,147.5635,65.22919,130.45837,51.01119,255.05594,57.667145,346.00287,52.794594,369.56216,40.82466,612.36993,0.7626287,0.19065717,0,4,4,1
"53",281.55487,899.404,0.15869053,281.71973,892.96716,0.19633609,285.84604,903.42346,0.1614204,282.49976,912.8761,0.16328599,12.816636,120.63611,2.5831702,7.1076813,143.1436,35.7859,2.5831702,120.63611,53.24913,106.49826,50.47823,252.39114,48.47364,290.84183,54.541256,381.7888,41.142715,617.14075,0.679733,0.16993324,0,4,4,1
"54",279.8777,899.34454,0.14026926,271.745,894.67944,0.16838768,285.84604,903.42346,0.15255257,282.38092,912.42523,0.13834137,12.824685,77.33938,0,3.563079,93.72714,23.431786,0,77.33938,29.608843,59.217686,48.842087,244.21043,45.97049,275.82294,44.896233,314.27362,41.04233,615.63495,0.59955084,0.14988771,0,4,4,1
"55",278.8383,899.404,0.14386465,266.2101,896.2094,0.19887817,283.06433,901.6845,0.15372947,267.06723,911.4876,0.15762663,7.955807,43.882385,25.068977,117.24261,194.14978,48.537445,7.955807,117.24261,35.984615,71.96923,47.642704,238.21352,48.791313,292.7479,46.337196,324.36038,44.160385,662.40576,0.65409887,0.16352472,0,4,4,1
